2021 rank,City,State[c],2021 estimate,2020 census,Change,2020 land area,2020 land area2,2020 population density,2020 population density2,Location
119,Oxnard,California,"201,879","202,063",?0.09%,26.5 sq mi,68.6 km,"7,625/sq mi","2,944/km",34°12?N 119°12?W? / ?34.20°N 119.20°W
120,Amarillo,Texas,"201,234","200,393",+0.42%,102.3 sq mi,265.0 km,"1,959/sq mi",756/km,35°11?N 101°50?W? / ?35.19°N 101.83°W
121,Augusta,Georgia,"201,196","202,081",?0.44%,302.3 sq mi,783.0 km,668/sq mi,258/km,33°22?N 82°04?W? / ?33.36°N 82.07°W
122,Salt Lake City,Utah,"200,478","199,723",+0.38%,110.3 sq mi,285.7 km,"1,811/sq mi",699/km,40°46?N 111°56?W? / ?40.77°N 111.93°W
123,Montgomery,Alabama,"198,665","200,603",?0.97%,159.9 sq mi,414.1 km,"1,255/sq mi",485/km,32°20?N 86°16?W? / ?32.34°N 86.26°W
124,Birmingham,Alabama,"197,575","200,733",?1.57%,147.0 sq mi,380.7 km,"1,366/sq mi",527/km,33°31?N 86°47?W? / ?33.52°N 86.79°W
125,Grand Rapids,Michigan,"197,416","198,917",?0.75%,44.8 sq mi,116.0 km,"4,440/sq mi","1,710/km",42°58?N 85°39?W? / ?42.96°N 85.65°W
126,Grand Prairie,Texas,"197,347","196,100",+0.64%,72.6 sq mi,188.0 km,"2,701/sq mi","1,043/km",32°41?N 97°01?W? / ?32.68°N 97.02°W
127,Overland Park,Kansas,"197,106","197,238",?0.07%,75.2 sq mi,194.8 km,"2,623/sq mi","1,013/km",38°53?N 94°41?W? / ?38.88°N 94.69°W
128,Tallahassee,Florida,"197,102","196,169",+0.48%,100.9 sq mi,261.3 km,"1,944/sq mi",751/km,30°27?N 84°15?W? / ?30.45°N 84.25°W
129,Huntington Beach,California,"196,652","198,711",?1.04%,27.0 sq mi,69.9 km,"7,360/sq mi","2,840/km",33°41?N 118°00?W? / ?33.69°N 118.00°W
130,Sioux Falls,South Dakota,"196,528","192,517",+2.08%,79.1 sq mi,204.9 km,"2,434/sq mi",940/km,43°32?N 96°44?W? / ?43.53°N 96.73°W
131,Peoria,Arizona,"194,917","190,985",+2.06%,176.1 sq mi,456.1 km,"1,085/sq mi",419/km,33°47?N 112°18?W? / ?33.78°N 112.30°W
132,Knoxville,Tennessee,"192,648","190,740",+1.00%,98.7 sq mi,255.6 km,"1,933/sq mi",746/km,35°58?N 83°56?W? / ?35.97°N 83.94°W
133,Glendale,California,"192,366","196,543",?2.13%,30.5 sq mi,79.0 km,"6,444/sq mi","2,488/km",34°11?N 118°14?W? / ?34.18°N 118.24°W
134,Vancouver,Washington,"192,169","190,915",+0.66%,48.7 sq mi,126.1 km,"3,920/sq mi","1,510/km",45°38?N 122°35?W? / ?45.63°N 122.59°W
135,Providence,Rhode Island,"189,692","190,934",?0.65%,18.4 sq mi,47.7 km,"10,377/sq mi","4,007/km",41°49?N 71°25?W? / ?41.82°N 71.41°W
136,Akron,Ohio,"189,347","190,469",?0.59%,61.9 sq mi,160.3 km,"3,077/sq mi","1,188/km",41°05?N 81°31?W? / ?41.08°N 81.52°W
137,Brownsville,Texas,"187,831","186,738",+0.59%,131.5 sq mi,340.6 km,"1,420/sq mi",550/km,25°59?N 97°27?W? / ?25.99°N 97.45°W
138,Mobile,Alabama,"184,952","187,041",?1.12%,139.5 sq mi,361.3 km,"1,341/sq mi",518/km,30°40?N 88°06?W? / ?30.66°N 88.10°W
139,Newport News,Virginia,"184,587","186,247",?0.89%,69.0 sq mi,178.7 km,"2,699/sq mi","1,042/km",37°04?N 76°31?W? / ?37.07°N 76.52°W
140,Tempe,Arizona,"184,118","180,587",+1.96%,39.9 sq mi,103.3 km,"4,526/sq mi","1,747/km",33°23?N 111°56?W? / ?33.38°N 111.93°W
141,Shreveport,Louisiana,"184,021","187,593",?1.90%,107.8 sq mi,279.2 km,"1,740/sq mi",670/km,32°28?N 93°47?W? / ?32.46°N 93.79°W
142,Chattanooga,Tennessee,"182,113","181,099",+0.56%,142.4 sq mi,368.8 km,"1,272/sq mi",491/km,35°04?N 85°14?W? / ?35.06°N 85.24°W
143,Fort Lauderdale,Florida,"181,668","182,760",?0.60%,34.6 sq mi,89.6 km,"5,282/sq mi","2,039/km",26°08?N 80°08?W? / ?26.14°N 80.14°W
144,Aurora,Illinois,"179,266","180,542",?0.71%,45.0 sq mi,116.5 km,"4,012/sq mi","1,549/km",41°46?N 88°17?W? / ?41.76°N 88.29°W
145,Elk Grove,California,"178,997","176,124",+1.63%,42.0 sq mi,108.8 km,"4,193/sq mi","1,619/km",38°25?N 121°23?W? / ?38.41°N 121.38°W
146,Ontario,California,"177,963","175,265",+1.54%,50.0 sq mi,129.5 km,"3,505/sq mi","1,353/km",34°02?N 117°36?W? / ?34.03°N 117.60°W
147,Salem,Oregon,"177,723","175,535",+1.25%,48.8 sq mi,126.4 km,"3,597/sq mi","1,389/km",44°55?N 123°01?W? / ?44.92°N 123.02°W
148,Cary,North Carolina,"176,987","174,721",+1.30%,59.2 sq mi,153.3 km,"2,951/sq mi","1,139/km",35°47?N 78°49?W? / ?35.78°N 78.81°W
149,Santa Rosa,California,"176,938","178,127",?0.67%,42.5 sq mi,110.1 km,"4,191/sq mi","1,618/km",38°26?N 122°42?W? / ?38.44°N 122.70°W
150,Rancho Cucamonga,California,"175,142","174,453",+0.39%,40.1 sq mi,103.9 km,"4,350/sq mi","1,680/km",34°07?N 117°34?W? / ?34.12°N 117.56°W
151,Eugene,Oregon,"175,096","176,654",?0.88%,44.2 sq mi,114.5 km,"3,997/sq mi","1,543/km",44°03?N 123°07?W? / ?44.05°N 123.11°W
152,Oceanside,California,"172,982","174,068",?0.62%,41.3 sq mi,107.0 km,"4,215/sq mi","1,627/km",33°13?N 117°18?W? / ?33.22°N 117.30°W
153,Clarksville,Tennessee,"170,957","166,722",+2.54%,99.4 sq mi,257.4 km,"1,677/sq mi",647/km,36°34?N 87°20?W? / ?36.56°N 87.34°W
154,Garden Grove,California,"170,488","171,949",?0.85%,18.0 sq mi,46.6 km,"9,553/sq mi","3,688/km",33°46?N 117°58?W? / ?33.77°N 117.96°W
155,Lancaster,California,"170,150","173,516",?1.94%,94.3 sq mi,244.2 km,"1,840/sq mi",710/km,34°41?N 118°10?W? / ?34.69°N 118.17°W
156,Springfield,Missouri,"169,724","169,176",+0.32%,82.4 sq mi,213.4 km,"2,053/sq mi",793/km,37°11?N 93°17?W? / ?37.19°N 93.29°W
157,Pembroke Pines,Florida,"169,391","171,178",?1.04%,32.7 sq mi,84.7 km,"5,235/sq mi","2,021/km",26°01?N 80°20?W? / ?26.02°N 80.34°W
158,Fort Collins,Colorado,"168,538","169,810",?0.75%,57.2 sq mi,148.1 km,"2,969/sq mi","1,146/km",40°32?N 105°04?W? / ?40.54°N 105.06°W
159,Palmdale,California,"165,761","169,450",?2.18%,106.1 sq mi,274.8 km,"1,597/sq mi",617/km,34°35?N 118°06?W? / ?34.59°N 118.10°W
160,Salinas,California,"162,791","163,542",?0.46%,23.5 sq mi,60.9 km,"6,959/sq mi","2,687/km",36°41?N 121°38?W? / ?36.69°N 121.63°W
161,Hayward,California,"159,827","162,954",?1.92%,45.8 sq mi,118.6 km,"3,558/sq mi","1,374/km",37°37?N 122°06?W? / ?37.62°N 122.10°W
162,Corona,California,"159,743","157,136",+1.66%,39.9 sq mi,103.3 km,"3,938/sq mi","1,520/km",33°52?N 117°34?W? / ?33.86°N 117.56°W
163,Paterson,New Jersey,"157,794","159,732",?1.21%,8.4 sq mi,21.8 km,"19,016/sq mi","7,342/km",40°55?N 74°10?W? / ?40.91°N 74.16°W
164,Murfreesboro,Tennessee,"157,519","152,769",+3.11%,62.9 sq mi,162.9 km,"2,429/sq mi",938/km,35°51?N 86°25?W? / ?35.85°N 86.41°W
165,Macon,Georgia,"156,762","157,346",?0.37%,249.4 sq mi,645.9 km,631/sq mi,244/km,32°48?N 83°41?W? / ?32.80°N 83.69°W
166,Lakewood,Colorado,"156,605","155,984",+0.40%,43.5 sq mi,112.7 km,"3,586/sq mi","1,385/km",39°41?N 105°07?W? / ?39.69°N 105.11°W
167,Killeen,Texas,"156,261","153,095",+2.07%,54.8 sq mi,141.9 km,"2,794/sq mi","1,079/km",31°04?N 97°44?W? / ?31.07°N 97.73°W
168,Springfield,Massachusetts,"154,789","155,929",?0.73%,31.9 sq mi,82.6 km,"4,888/sq mi","1,887/km",42°07?N 72°32?W? / ?42.11°N 72.54°W
169,Alexandria,Virginia,"154,706","159,467",?2.99%,14.9 sq mi,38.6 km,"10,702/sq mi","4,132/km",38°49?N 77°05?W? / ?38.82°N 77.08°W
170,Kansas City,Kansas,"154,545","156,607",?1.32%,124.7 sq mi,323.0 km,"1,256/sq mi",485/km,39°07?N 94°44?W? / ?39.12°N 94.74°W
171,Sunnyvale,California,"152,258","155,805",?2.28%,22.1 sq mi,57.2 km,"7,050/sq mi","2,720/km",37°23?N 122°01?W? / ?37.38°N 122.02°W
172,Hollywood,Florida,"152,131","153,067",?0.61%,27.3 sq mi,70.7 km,"5,607/sq mi","2,165/km",26°02?N 80°10?W? / ?26.03°N 80.16°W
173,Roseville,California,"151,901","147,773",+2.79%,44.1 sq mi,114.2 km,"3,351/sq mi","1,294/km",38°46?N 121°19?W? / ?38.76°N 121.31°W
174,Charleston,South Carolina,"151,612","150,227",+0.92%,114.8 sq mi,297.3 km,"1,309/sq mi",505/km,32°49?N 79°57?W? / ?32.81°N 79.95°W
175,Escondido,California,"150,665","151,038",?0.25%,37.3 sq mi,96.6 km,"4,049/sq mi","1,563/km",33°08?N 117°04?W? / ?33.13°N 117.07°W
176,Joliet,Illinois,"150,372","150,362",+0.01%,64.5 sq mi,167.1 km,"2,331/sq mi",900/km,41°31?N 88°08?W? / ?41.51°N 88.14°W
177,Jackson,Mississippi,"149,761","153,701",?2.56%,111.7 sq mi,289.3 km,"1,376/sq mi",531/km,32°19?N 90°13?W? / ?32.31°N 90.21°W
178,Bellevue,Washington,"149,440","151,854",?1.59%,33.5 sq mi,86.8 km,"4,533/sq mi","1,750/km",47°35?N 122°09?W? / ?47.59°N 122.15°W
179,Surprise,Arizona,"149,191","143,148",+4.22%,110.3 sq mi,285.7 km,"1,298/sq mi",501/km,33°40?N 112°27?W? / ?33.67°N 112.45°W
180,Naperville,Illinois,"149,104","149,540",?0.29%,39.1 sq mi,101.3 km,"3,825/sq mi","1,477/km",41°44?N 88°10?W? / ?41.74°N 88.16°W
181,Pasadena,Texas,"148,626","151,950",?2.19%,43.7 sq mi,113.2 km,"3,477/sq mi","1,342/km",29°39?N 95°09?W? / ?29.65°N 95.15°W
182,Pomona,California,"148,338","151,713",?2.22%,23.0 sq mi,59.6 km,"6,596/sq mi","2,547/km",34°03?N 117°46?W? / ?34.05°N 117.76°W
183,Bridgeport,Connecticut,"148,333","148,654",?0.22%,16.1 sq mi,41.7 km,"9,233/sq mi","3,565/km",41°11?N 73°11?W? / ?41.18°N 73.19°W
184,Denton,Texas,"148,146","139,869",+5.92%,96.4 sq mi,249.7 km,"1,451/sq mi",560/km,33°13?N 97°08?W? / ?33.21°N 97.14°W
185,Rockford,Illinois,"147,711","148,655",?0.64%,64.5 sq mi,167.1 km,"2,305/sq mi",890/km,42°15?N 89°04?W? / ?42.25°N 89.06°W
186,Mesquite,Texas,"147,691","150,108",?1.61%,48.5 sq mi,125.6 km,"3,095/sq mi","1,195/km",32°46?N 96°35?W? / ?32.76°N 96.58°W
187,Savannah,Georgia,"147,088","147,780",?0.47%,106.8 sq mi,276.6 km,"1,384/sq mi",534/km,32°00?N 81°09?W? / ?32.00°N 81.15°W
188,Syracuse,New York,"146,103","148,620",?1.69%,25.1 sq mi,65.0 km,"5,921/sq mi","2,286/km",43°02?N 76°08?W? / ?43.04°N 76.14°W
189,McAllen,Texas,"143,920","142,210",+1.20%,62.3 sq mi,161.4 km,"2,283/sq mi",881/km,26°14?N 98°14?W? / ?26.23°N 98.24°W
190,Torrance,California,"143,600","147,067",?2.36%,20.5 sq mi,53.1 km,"7,174/sq mi","2,770/km",33°50?N 118°20?W? / ?33.83°N 118.34°W
191,Olathe,Kansas,"143,014","141,290",+1.22%,61.9 sq mi,160.3 km,"2,283/sq mi",881/km,38°53?N 94°49?W? / ?38.88°N 94.81°W
192,Visalia,California,"142,978","141,384",+1.13%,37.9 sq mi,98.2 km,"3,730/sq mi","1,440/km",36°19?N 119°19?W? / ?36.32°N 119.32°W
193,Thornton,Colorado,"142,610","141,867",+0.52%,35.9 sq mi,93.0 km,"3,952/sq mi","1,526/km",39°55?N 104°56?W? / ?39.91°N 104.94°W
194,Fullerton,California,"141,874","143,617",?1.21%,22.4 sq mi,58.0 km,"6,411/sq mi","2,475/km",33°53?N 117°55?W? / ?33.88°N 117.92°W
195,Gainesville,Florida,"140,398","141,085",?0.49%,63.2 sq mi,163.7 km,"2,232/sq mi",862/km,29°40?N 82°20?W? / ?29.67°N 82.34°W
196,Waco,Texas,"139,594","138,486",+0.80%,88.7 sq mi,229.7 km,"1,561/sq mi",603/km,31°34?N 97°11?W? / ?31.56°N 97.18°W
197,West Valley City,Utah,"139,110","140,230",?0.80%,35.8 sq mi,92.7 km,"3,917/sq mi","1,512/km",40°41?N 112°01?W? / ?40.68°N 112.01°W
198,Warren,Michigan,"138,130","139,387",?0.90%,34.4 sq mi,89.1 km,"4,052/sq mi","1,564/km",42°29?N 83°01?W? / ?42.49°N 83.02°W
199,Lakewood,New Jersey,"138,070","135,158",+2.15%,24.7 sq mi,64.0 km,"5,472/sq mi","2,113/km",40°05?N 74°13?W? / ?40.08°N 74.21°W
200,Hampton,Virginia,"137,746","137,148",+0.44%,51.5 sq mi,133.4 km,"2,663/sq mi","1,028/km",37°02?N 76°17?W? / ?37.04°N 76.29°W
201,Dayton,Ohio,"137,571","137,644",?0.05%,55.8 sq mi,144.5 km,"2,467/sq mi",953/km,39°46?N 84°11?W? / ?39.77°N 84.19°W
202,Columbia,South Carolina,"137,541","136,632",+0.67%,136.8 sq mi,354.3 km,999/sq mi,386/km,34°01?N 80°53?W? / ?34.02°N 80.89°W
203,Orange,California,"137,264","139,911",?1.89%,25.7 sq mi,66.6 km,"5,444/sq mi","2,102/km",33°47?N 117°52?W? / ?33.78°N 117.86°W
204,Cedar Rapids,Iowa,"136,467","137,710",?0.90%,72.1 sq mi,186.7 km,"1,910/sq mi",740/km,41°58?N 91°40?W? / ?41.96°N 91.67°W
205,Stamford,Connecticut,"136,309","135,470",+0.62%,37.6 sq mi,97.4 km,"3,603/sq mi","1,391/km",41°04?N 73°32?W? / ?41.07°N 73.54°W
206,Victorville,California,"135,950","134,810",+0.85%,73.7 sq mi,190.9 km,"1,829/sq mi",706/km,34°31?N 117°21?W? / ?34.52°N 117.35°W
207,Pasadena,California,"135,732","138,699",?2.14%,23.0 sq mi,59.6 km,"6,030/sq mi","2,330/km",34°10?N 118°08?W? / ?34.16°N 118.13°W
208,Elizabeth,New Jersey,"135,407","137,298",?1.38%,12.3 sq mi,31.9 km,"11,162/sq mi","4,310/km",40°40?N 74°11?W? / ?40.66°N 74.19°W
209,New Haven,Connecticut,"135,081","134,023",+0.79%,18.7 sq mi,48.4 km,"7,167/sq mi","2,767/km",41°19?N 72°55?W? / ?41.31°N 72.92°W
210,Miramar,Florida,"135,077","134,721",+0.26%,28.9 sq mi,74.9 km,"4,662/sq mi","1,800/km",25°58?N 80°20?W? / ?25.97°N 80.33°W
211,Kent,Washington,"134,835","136,588",?1.28%,33.8 sq mi,87.5 km,"4,041/sq mi","1,560/km",47°23?N 122°13?W? / ?47.38°N 122.21°W
212,Sterling Heights,Michigan,"133,269","134,346",?0.80%,36.4 sq mi,94.3 km,"3,691/sq mi","1,425/km",42°35?N 83°02?W? / ?42.58°N 83.03°W
213,Carrollton,Texas,"133,251","133,434",?0.14%,36.7 sq mi,95.1 km,"3,636/sq mi","1,404/km",32°59?N 96°53?W? / ?32.98°N 96.89°W
214,Coral Springs,Florida,"132,822","134,394",?1.17%,22.9 sq mi,59.3 km,"5,869/sq mi","2,266/km",26°16?N 80°15?W? / ?26.27°N 80.25°W
215,Midland,Texas,"131,325","132,524",?0.90%,75.5 sq mi,195.5 km,"1,755/sq mi",678/km,32°01?N 102°07?W? / ?32.02°N 102.11°W
216,Norman,Oklahoma,"128,097","128,026",+0.06%,178.8 sq mi,463.1 km,716/sq mi,276/km,35°14?N 97°20?W? / ?35.24°N 97.34°W
217,Athens,Georgia,"127,358","127,315",+0.03%,116.3 sq mi,301.2 km,"1,095/sq mi",423/km,33°56?N 83°22?W? / ?33.94°N 83.37°W
218,Santa Clara,California,"127,151","127,647",?0.39%,18.3 sq mi,47.4 km,"6,975/sq mi","2,693/km",37°22?N 121°58?W? / ?37.36°N 121.96°W
219,Columbia,Missouri,"126,853","126,254",+0.47%,66.5 sq mi,172.2 km,"1,899/sq mi",733/km,38°57?N 92°19?W? / ?38.95°N 92.32°W
220,Fargo,North Dakota,"126,748","125,990",+0.60%,49.8 sq mi,129.0 km,"2,530/sq mi",980/km,46°52?N 96°49?W? / ?46.86°N 96.82°W
221,Pearland,Texas,"125,990","125,828",+0.13%,48.7 sq mi,126.1 km,"2,584/sq mi",998/km,29°33?N 95°19?W? / ?29.55°N 95.32°W
222,Simi Valley,California,"125,975","126,356",?0.30%,41.5 sq mi,107.5 km,"3,045/sq mi","1,176/km",34°16?N 118°44?W? / ?34.26°N 118.74°W
223,Meridian,Idaho,"125,963","117,635",+7.08%,35.1 sq mi,90.9 km,"3,351/sq mi","1,294/km",43°37?N 116°23?W? / ?43.61°N 116.39°W
223,Topeka,Kansas,"125,963","126,587",?0.49%,61.4 sq mi,159.0 km,"2,062/sq mi",796/km,39°02?N 95°41?W? / ?39.03°N 95.69°W
225,Allentown,Pennsylvania,"125,944","125,845",+0.08%,17.6 sq mi,45.6 km,"7,150/sq mi","2,760/km",40°35?N 75°28?W? / ?40.59°N 75.47°W
226,Thousand Oaks,California,"125,754","126,966",?0.95%,55.3 sq mi,143.2 km,"2,296/sq mi",886/km,34°11?N 118°52?W? / ?34.19°N 118.87°W
227,Abilene,Texas,"125,070","125,182",?0.09%,106.7 sq mi,276.4 km,"1,173/sq mi",453/km,32°27?N 99°44?W? / ?32.45°N 99.73°W
228,Vallejo,California,"124,886","126,090",?0.95%,30.4 sq mi,78.7 km,"4,148/sq mi","1,602/km",38°06?N 122°16?W? / ?38.10°N 122.26°W
229,Concord,California,"124,074","125,410",?1.07%,30.6 sq mi,79.3 km,"4,098/sq mi","1,582/km",37°58?N 122°00?W? / ?37.97°N 122.00°W
230,Round Rock,Texas,"123,876","119,468",+3.69%,37.6 sq mi,97.4 km,"3,177/sq mi","1,227/km",30°31?N 97°40?W? / ?30.52°N 97.66°W
231,Arvada,Colorado,"123,436","124,402",?0.78%,38.9 sq mi,100.8 km,"3,198/sq mi","1,235/km",39°50?N 105°09?W? / ?39.83°N 105.15°W
232,Clovis,California,"122,989","120,124",+2.39%,25.4 sq mi,65.8 km,"4,729/sq mi","1,826/km",36°49?N 119°41?W? / ?36.82°N 119.68°W
233,Palm Bay,Florida,"122,942","119,760",+2.66%,86.4 sq mi,223.8 km,"1,386/sq mi",535/km,27°59?N 80°40?W? / ?27.98°N 80.66°W
234,Independence,Missouri,"122,088","123,011",?0.75%,78.0 sq mi,202.0 km,"1,577/sq mi",609/km,39°05?N 94°21?W? / ?39.08°N 94.35°W
235,Lafayette,Louisiana,"121,771","121,374",+0.33%,55.8 sq mi,144.5 km,"2,175/sq mi",840/km,30°12?N 92°01?W? / ?30.20°N 92.02°W
236,Ann Arbor,Michigan,"121,536","123,851",?1.87%,28.2 sq mi,73.0 km,"4,392/sq mi","1,696/km",42°16?N 83°44?W? / ?42.27°N 83.73°W
237,Rochester,Minnesota,"121,465","121,395",+0.06%,55.5 sq mi,143.7 km,"2,187/sq mi",844/km,44°01?N 92°28?W? / ?44.01°N 92.47°W
238,Hartford,Connecticut,"120,576","121,054",?0.39%,17.4 sq mi,45.1 km,"6,957/sq mi","2,686/km",41°46?N 72°41?W? / ?41.76°N 72.68°W
239,College Station,Texas,"120,019","120,511",?0.41%,51.2 sq mi,132.6 km,"2,354/sq mi",909/km,30°35?N 96°17?W? / ?30.58°N 96.29°W
240,Fairfield,California,"119,705","119,881",?0.15%,41.6 sq mi,107.7 km,"2,882/sq mi","1,113/km",38°15?N 122°02?W? / ?38.25°N 122.03°W
241,Wilmington,North Carolina,"117,643","115,451",+1.90%,51.4 sq mi,133.1 km,"2,246/sq mi",867/km,34°12?N 77°53?W? / ?34.20°N 77.88°W
242,North Charleston,South Carolina,"117,472","114,852",+2.28%,77.6 sq mi,201.0 km,"1,480/sq mi",570/km,32°55?N 80°04?W? / ?32.91°N 80.06°W
243,Billings,Montana,"117,445","117,116",+0.28%,44.8 sq mi,116.0 km,"2,614/sq mi","1,009/km",45°47?N 108°32?W? / ?45.78°N 108.54°W
244,West Palm Beach,Florida,"117,286","117,415",?0.11%,53.8 sq mi,139.3 km,"2,182/sq mi",842/km,26°44?N 80°07?W? / ?26.74°N 80.12°W
245,Berkeley,California,"117,145","124,321",?5.77%,10.4 sq mi,26.9 km,"11,954/sq mi","4,615/km",37°52?N 122°17?W? / ?37.86°N 122.29°W
246,Cambridge,Massachusetts,"117,090","118,403",?1.11%,6.4 sq mi,16.6 km,"18,500/sq mi","7,100/km",42°22?N 71°07?W? / ?42.37°N 71.11°W
247,Clearwater,Florida,"116,674","117,292",?0.53%,26.1 sq mi,67.6 km,"4,494/sq mi","1,735/km",27°58?N 82°46?W? / ?27.97°N 82.76°W
248,West Jordan,Utah,"116,541","116,961",?0.36%,32.3 sq mi,83.7 km,"3,621/sq mi","1,398/km",40°36?N 112°00?W? / ?40.60°N 112.00°W
249,Evansville,Indiana,"116,486","117,298",?0.69%,47.4 sq mi,122.8 km,"2,475/sq mi",956/km,37°59?N 87°32?W? / ?37.98°N 87.53°W
250,Richardson,Texas,"116,382","119,469",?2.58%,28.6 sq mi,74.1 km,"4,177/sq mi","1,613/km",32°58?N 96°42?W? / ?32.97°N 96.70°W
251,Broken Arrow,Oklahoma,"116,330","113,540",+2.46%,63.0 sq mi,163.2 km,"1,802/sq mi",696/km,36°02?N 95°47?W? / ?36.03°N 95.78°W
252,Richmond,California,"115,639","116,448",?0.69%,30.1 sq mi,78.0 km,"3,869/sq mi","1,494/km",37°57?N 122°22?W? / ?37.95°N 122.36°W
253,League City,Texas,"115,595","114,392",+1.05%,51.3 sq mi,132.9 km,"2,230/sq mi",860/km,29°29?N 95°06?W? / ?29.49°N 95.10°W
254,Manchester,New Hampshire,"115,462","115,644",?0.16%,33.1 sq mi,85.7 km,"3,494/sq mi","1,349/km",42°59?N 71°26?W? / ?42.98°N 71.44°W
255,Lakeland,Florida,"115,425","112,641",+2.47%,66.2 sq mi,171.5 km,"1,702/sq mi",657/km,28°03?N 81°57?W? / ?28.05°N 81.95°W
256,Carlsbad,California,"115,302","114,746",+0.48%,37.8 sq mi,97.9 km,"3,036/sq mi","1,172/km",33°07?N 117°17?W? / ?33.12°N 117.28°W
257,Antioch,California,"114,794","115,291",?0.43%,29.2 sq mi,75.6 km,"3,948/sq mi","1,524/km",37°58?N 121°47?W? / ?37.97°N 121.79°W
258,Westminster,Colorado,"114,561","116,317",?1.51%,31.6 sq mi,81.8 km,"3,681/sq mi","1,421/km",39°53?N 105°04?W? / ?39.88°N 105.06°W
259,High Point,North Carolina,"114,086","114,059",+0.02%,56.4 sq mi,146.1 km,"2,022/sq mi",781/km,35°59?N 79°59?W? / ?35.99°N 79.99°W
260,Provo,Utah,"114,084","115,162",?0.94%,41.7 sq mi,108.0 km,"2,762/sq mi","1,066/km",40°14?N 111°38?W? / ?40.24°N 111.64°W
261,Lowell,Massachusetts,"113,994","115,554",?1.35%,13.6 sq mi,35.2 km,"8,497/sq mi","3,281/km",42°38?N 71°19?W? / ?42.63°N 71.32°W
262,Elgin,Illinois,"113,911","114,797",?0.77%,38.0 sq mi,98.4 km,"3,021/sq mi","1,166/km",42°02?N 88°19?W? / ?42.03°N 88.32°W
263,Waterbury,Connecticut,"113,811","114,403",?0.52%,28.5 sq mi,73.8 km,"4,014/sq mi","1,550/km",41°33?N 73°02?W? / ?41.55°N 73.03°W
264,Springfield,Illinois,"113,394","114,394",?0.87%,61.1 sq mi,158.2 km,"1,872/sq mi",723/km,39°47?N 89°38?W? / ?39.79°N 89.64°W
265,Gresham,Oregon,"113,103","114,247",?1.00%,23.5 sq mi,60.9 km,"4,862/sq mi","1,877/km",45°30?N 122°26?W? / ?45.50°N 122.44°W
266,Murrieta,California,"112,991","110,949",+1.84%,33.6 sq mi,87.0 km,"3,302/sq mi","1,275/km",33°34?N 117°11?W? / ?33.57°N 117.19°W
267,Lewisville,Texas,"112,944","111,822",+1.00%,37.0 sq mi,95.8 km,"3,022/sq mi","1,167/km",33°02?N 96°59?W? / ?33.04°N 96.98°W
268,Las Cruces,New Mexico,"112,914","111,385",+1.37%,76.9 sq mi,199.2 km,"1,448/sq mi",559/km,32°19?N 106°47?W? / ?32.32°N 106.78°W
269,Lansing,Michigan,"112,684","112,644",+0.04%,39.1 sq mi,101.3 km,"2,881/sq mi","1,112/km",42°43?N 84°33?W? / ?42.71°N 84.55°W
270,Beaumont,Texas,"112,556","115,282",?2.36%,82.5 sq mi,213.7 km,"1,397/sq mi",539/km,30°05?N 94°08?W? / ?30.08°N 94.14°W
271,Odessa,Texas,"112,483","114,428",?1.70%,51.1 sq mi,132.3 km,"2,239/sq mi",864/km,31°53?N 102°20?W? / ?31.88°N 102.34°W
272,Pueblo,Colorado,"112,368","111,876",+0.44%,55.4 sq mi,143.5 km,"2,019/sq mi",780/km,38°16?N 104°37?W? / ?38.26°N 104.61°W
273,Peoria,Illinois,"111,666","113,150",?1.31%,48.0 sq mi,124.3 km,"2,357/sq mi",910/km,40°45?N 89°37?W? / ?40.75°N 89.61°W
274,Downey,California,"111,645","114,355",?2.37%,12.4 sq mi,32.1 km,"9,222/sq mi","3,561/km",33°56?N 118°08?W? / ?33.93°N 118.13°W
275,Pompano Beach,Florida,"111,348","112,046",?0.62%,24.0 sq mi,62.2 km,"4,669/sq mi","1,803/km",26°14?N 80°08?W? / ?26.24°N 80.13°W
276,Miami Gardens,Florida,"110,867","111,640",?0.69%,18.2 sq mi,47.1 km,"6,134/sq mi","2,368/km",25°56?N 80°14?W? / ?25.94°N 80.24°W
277,Temecula,California,"110,846","110,003",+0.77%,37.3 sq mi,96.6 km,"2,949/sq mi","1,139/km",33°29?N 117°08?W? / ?33.49°N 117.13°W
278,Everett,Washington,"110,812","110,629",+0.17%,33.2 sq mi,86.0 km,"3,332/sq mi","1,286/km",47°57?N 122°11?W? / ?47.95°N 122.19°W
279,Costa Mesa,California,"110,750","111,918",?1.04%,15.8 sq mi,40.9 km,"7,083/sq mi","2,735/km",33°40?N 117°55?W? / ?33.66°N 117.91°W
280,Ventura,California,"109,925","110,763",?0.76%,21.9 sq mi,56.7 km,"5,058/sq mi","1,953/km",34°16?N 119°15?W? / ?34.26°N 119.25°W
281,Sparks,Nevada,"109,796","108,445",+1.25%,36.4 sq mi,94.3 km,"2,979/sq mi","1,150/km",39°33?N 119°44?W? / ?39.55°N 119.73°W
282,Santa Maria,California,"109,711","109,707",0.00%,22.8 sq mi,59.1 km,"4,812/sq mi","1,858/km",34°56?N 120°26?W? / ?34.93°N 120.44°W
283,Sugar Land,Texas,"109,373","111,026",?1.49%,40.5 sq mi,104.9 km,"2,741/sq mi","1,058/km",29°35?N 95°37?W? / ?29.59°N 95.61°W
